"participantID","vignette_id","condition","topic","PartnerTrust","PartnerReal","ConversationMyself","ConversationSharing","AttentionCheck","Belief_AI_Human"
"b7rnwuma3y","romantic1","Human","Romantic",1,1,1,1,"Mental Health",-17
"b7rnwuma3y","romantic2","AI","Romantic",1,1,1,1,NA,-21
"b7rnwuma3y","trivial1","AI","Trivial",3,4,3,2,"Romantic",-100
"b7rnwuma3y","trivial2","Human","Trivial",5,4,1,5,NA,-100
"bjkvoudlo0","mental1","Human","Mental",5,5,5,5,NA,-98
"bjkvoudlo0","mental2","AI","Mental",4,5,5,5,NA,-100
"bjkvoudlo0","romantic1","AI","Romantic",4,4,4,4,"Mental Health",100
"bjkvoudlo0","romantic2","Human","Romantic",5,5,4,4,NA,100
"bjkvoudlo0","trivial1","Human","Trivial",4,4,4,4,NA,-92
"bjkvoudlo0","trivial2","AI","Trivial",4,4,4,3,"Mental Health",-94
"cmj8pw8vdu","mental1","AI","Mental",1,1,7,1,"Romantic",-100
"cmj8pw8vdu","mental2","Human","Mental",4,7,7,6,NA,100
"cmj8pw8vdu","romantic1","AI","Romantic",6,6,7,7,"Romantic",-78
"cmj8pw8vdu","romantic2","Human","Romantic",6,2,6,3,NA,76
"cmj8pw8vdu","trivial1","AI","Trivial",3,1,7,2,NA,-100
"cmj8pw8vdu","trivial2","Human","Trivial",5,1,7,1,NA,-100
"d9oudcsw4a","mental1","AI","Mental",4,4,5,5,"Mental Health",-10
"d9oudcsw4a","mental2","Human","Mental",5,3,5,5,NA,-59
"d9oudcsw4a","romantic1","AI","Romantic",3,2,2,2,NA,-83
"d9oudcsw4a","romantic2","Human","Romantic",3,4,4,4,NA,-70
"d9oudcsw4a","trivial1","Human","Trivial",4,4,5,4,"Everyday / Trivial",-36
"d9oudcsw4a","trivial2","AI","Trivial",5,6,6,6,NA,-86
"eab6wr8lq5","mental1","AI","Mental",7,7,7,7,"Mental Health",-100
"eab6wr8lq5","mental2","Human","Mental",5,3,6,5,NA,-100
"eab6wr8lq5","romantic1","Human","Romantic",2,6,4,5,NA,100
"eab6wr8lq5","romantic2","AI","Romantic",5,3,3,4,"Romantic",-100
"eab6wr8lq5","trivial1","AI","Trivial",4,4,6,6,NA,100
"eab6wr8lq5","trivial2","Human","Trivial",7,7,7,7,NA,100
"ean9580qtv","mental1","Human","Mental",5,2,6,4,NA,-100
"ean9580qtv","mental2","AI","Mental",7,7,6,7,NA,-88
"ean9580qtv","romantic1","AI","Romantic",6,4,7,6,"Everyday / Trivial",42
"ean9580qtv","romantic2","Human","Romantic",6,1,5,6,NA,-100
"ean9580qtv","trivial1","AI","Trivial",2,2,3,2,NA,-100
"ean9580qtv","trivial2","Human","Trivial",6,2,5,5,"Romantic",-79
"ep6m44emj1","mental1","Human","Mental",2,2,5,2,NA,80
"ep6m44emj1","mental2","AI","Mental",2,2,4,2,NA,-60
"ep6m44emj1","romantic1","Human","Romantic",3,2,4,2,"Everyday / Trivial",50
"ep6m44emj1","romantic2","AI","Romantic",2,2,5,2,NA,-80
"ep6m44emj1","trivial1","AI","Trivial",4,2,6,5,"Everyday / Trivial",-100
"ep6m44emj1","trivial2","Human","Trivial",1,1,4,2,NA,-100
"f36k54nzvj","mental1","AI","Mental",5,5,5,5,NA,25
"f36k54nzvj","mental2","Human","Mental",5,5,5,5,NA,32
"f36k54nzvj","romantic1","Human","Romantic",5,5,5,5,"Everyday / Trivial",-49
"f36k54nzvj","romantic2","AI","Romantic",4,5,4,5,"Mental Health",-36
"f36k54nzvj","trivial1","AI","Trivial",5,5,5,5,NA,-77
"f36k54nzvj","trivial2","Human","Trivial",3,3,3,3,NA,27
"fuyuyzqdht","mental1","Human","Mental",5,5,3,3,NA,-62
"fuyuyzqdht","mental2","AI","Mental",1,4,5,1,NA,-54
